best actor in a leading role,Warner Baxter,In Old Arizona,1930
best actor in a leading role,George Arliss,Disraeli,1930
best actor in a leading role,Lionel Barrymore,A Free Soul,1931
best actor in a leading role,Wallace Beery,The Champ,1932
best actor in a leading role,Fredric March,Dr. Jekyll and Mr. Hyde,1932
best actor in a leading role,Charles Laughton,The Private Life of Henry VIII,1934
best actor in a leading role,Clark Gable,It Happened One Night,1935
best actor in a leading role,Victor McLaglen,The Informer,1936
best actor in a leading role,Paul Muni,The Story of Louis Pasteur,1937
best actor in a leading role,Spencer Tracy,Captains Courageous,1938
best actor in a leading role,Spencer Tracy,Boys Town,1939
best actor in a leading role,Robert Donat,"Goodbye, Mr. Chips",1940
best actor in a leading role,James Stewart,The Philadelphia Story,1941
best actor in a leading role,Gary Cooper,Sergeant York,1942
best actor in a leading role,James Cagney,Yankee Doodle Dandy,1943
best actor in a leading role,Paul Lukas,Watch on the Rhine,1944
best actor in a leading role,Bing Crosby,Going My Way,1945
best actor in a leading role,Ray Milland,The Lost Weekend,1946
best actor in a leading role,Fredric March,The Best Years of Our Lives,1947
best actor in a leading role,Ronald Colman,A Double Life,1948
best actor in a leading role,Laurence Olivier,Hamlet,1949
best actor in a leading role,Broderick Crawford,All the King's Men,1950
best actor in a leading role,José Ferrer,Cyrano de Bergerac,1951
best actor in a leading role,Humphrey Bogart,The African Queen,1952
best actor in a leading role,Gary Cooper,High Noon,1953
best actor in a leading role,William Holden,Stalag 17,1954
best actor in a leading role,Marlon Brando,On the Waterfront,1955
best actor in a leading role,Ernest Borgnine,Marty,1956
best actor in a leading role,Yul Brynner,The King and I,1957
best actor in a leading role,Alec Guinness,The Bridge on the River Kwai,1958
best actor in a leading role,David Niven,Separate Tables,1959
best actor in a leading role,Charlton Heston,Ben-Hur,1960
best actor in a leading role,Burt Lancaster,Elmer Gantry,1961
best actor in a leading role,Maximilian Schell,Judgment at Nuremberg,1962
best actor in a leading role,Gregory Peck,To Kill a Mockingbird,1963
best actor in a leading role,Sidney Poitier,Lilies of the Field,1964
best actor in a leading role,Rex Harrison,My Fair Lady,1965
best actor in a leading role,Lee Marvin,Cat Ballou,1966
best actor in a leading role,Paul Scofield,A Man for All Seasons,1967
best actor in a leading role,Rod Steiger,In the Heat of the Night,1968
best actor in a leading role,Cliff Robertson,Charly,1969
best actor in a leading role,John Wayne,True Grit,1970
best actor in a leading role,George C. Scott,Patton,1971
best actor in a leading role,Gene Hackman,The French Connection,1972
best actor in a leading role,Marlon Brando,The Godfather,1973
best actor in a leading role,Jack Lemmon,Save the Tiger,1974
best actor in a leading role,Art Carney,Harry and Tonto,1975
best actor in a leading role,Jack Nicholson,One Flew Over the Cuckoo's Nest,1976
best actor in a leading role,Peter Finch,Network,1977
best actor in a leading role,Richard Dreyfuss,The Goodbye Girl,1978
best actor in a leading role,Jon Voight,Coming Home,1979
best actor in a leading role,Dustin Hoffman,Kramer vs. Kramer,1980
best actor in a leading role,Robert De Niro,Raging Bull,1981
best actor in a leading role,Henry Fonda,On Golden Pond,1982
best actor in a leading role,Ben Kingsley,Gandhi,1983
best actor in a leading role,Robert Duvall,Tender Mercies,1984
best actor in a leading role,F. Murray Abraham,Amadeus,1985
best actor in a leading role,William Hurt,Kiss of the Spider Woman,1986
best actor in a leading role,Paul Newman,The Color of Money,1987
best actor in a leading role,Michael Douglas,Wall Street,1988
best actor in a leading role,Dustin Hoffman,Rain Man,1989
best actor in a leading role,Daniel Day-Lewis,My Left Foot,1990
best actor in a leading role,Jeremy Irons,Reversal of Fortune,1991
best actor in a leading role,Anthony Hopkins,The Silence of the Lambs,1992
best actor in a leading role,Al Pacino,Scent of a Woman,1993
best actor in a leading role,Tom Hanks,Philadelphia,1994
best actor in a leading role,Tom Hanks,Forrest Gump,1995
best actor in a leading role,Nicolas Cage,Leaving Las Vegas,1996
best actor in a leading role,Geoffrey Rush,Shine,1997
best actor in a leading role,Jack Nicholson,As Good as It Gets,1998
best actor in a leading role,Roberto Benigni,Life Is Beautiful,1999
best actor in a leading role,Kevin Spacey,American Beauty,2000
best actor in a leading role,Russell Crowe,Gladiator,2001
best actor in a leading role,Denzel Washington,Training Day,2002
best actor in a leading role,Adrien Brody,The Pianist,2003
best actor in a leading role,Sean Penn,Mystic River,2004
best actor in a leading role,Jamie Foxx,Ray,2005
best actor in a leading role,Philip Seymour Hoffman,Capote,2006
best actor in a leading role,Forest Whitaker,The Last King of Scotland,2007
best actor in a leading role,Daniel Day-Lewis,There Will Be Blood,2008
best actor in a leading role,Sean Penn,Milk,2009
best actor in a leading role,Jeff Bridges,Crazy Heart,2010
best actor in a leading role,Colin Firth,The King's Speech,2011
best actor in a leading role,Jean Dujardin,The Artist,2012
best actor in a leading role,Daniel Day-Lewis,Lincoln,2013
best actor in a leading role,Matthew McConaughey,Dallas Buyers Club,2014
best actor in a leading role,Eddie Redmayne,The Theory of Everything,2015
best actor in a leading role,Leonardo DiCaprio,The Revenant,2016
best actor in a leading role,Casey Affleck,Manchester by the Sea,2017
best actress in a leading role,Katharine Hepburn,Morning Glory,1934
best actress in a leading role,Claudette Colbert,It Happened One Night,1935
best actress in a leading role,Bette Davis,Dangerous,1936
best actress in a leading role,Luise Rainer,The Great Ziegfeld,1937
best actress in a leading role,Luise Rainer,The Good Earth,1938
best actress in a leading role,Bette Davis,Jezebel,1939
best actress in a leading role,Vivien Leigh,Gone with the Wind,1940
best actress in a leading role,Ginger Rogers,Kitty Foyle,1941
best actress in a leading role,Joan Fontaine,Suspicion,1942
best actress in a leading role,Greer Garson,Mrs. Miniver,1943
best actress in a leading role,Jennifer Jones,The Song of Bernadette,1944
best actress in a leading role,Ingrid Bergman,Gaslight,1945
best actress in a leading role,Joan Crawford,Mildred Pierce,1946
best actress in a leading role,Olivia de Havilland,To Each His Own,1947
best actress in a leading role,Loretta Young,The Farmer's Daughter,1948
best actress in a leading role,Jane Wyman,Johnny Belinda,1949
best actress in a leading role,Olivia de Havilland,The Heiress,1950
best actress in a leading role,Judy Holliday,Born Yesterday,1951
best actress in a leading role,Vivien Leigh,A Streetcar Named Desire,1952
best actress in a leading role,Shirley Booth,"Come Back, Little Sheba",1953
best actress in a leading role,Audrey Hepburn,Roman Holiday,1954
best actress in a leading role,Grace Kelly,The Country Girl,1955
best actress in a leading role,Anna Magnani,The Rose Tattoo,1956
best actress in a leading role,Ingrid Bergman,Anastasia,1957
best actress in a leading role,Joanne Woodward,The Three Faces of Eve,1958
best actress in a leading role,Susan Hayward,I Want to Live!,1959
best actress in a leading role,Simone Signoret,Room at the Top,1960
best actress in a leading role,Elizabeth Taylor,BUtterfield 8,1961
best actress in a leading role,Sophia Loren,Two Women,1962
best actress in a leading role,Anne Bancroft,The Miracle Worker,1963
best actress in a leading role,Patricia Neal,Hud,1964
best actress in a leading role,Julie Andrews,Mary Poppins,1965
best actress in a leading role,Julie Christie,Darling,1966
best actress in a leading role,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,1967
best actress in a leading role,Katharine Hepburn,Guess Who's Coming to Dinner,1968
best actress in a leading role,Katharine Hepburn,The Lion in Winter,1969
best actress in a leading role,Barbra Streisand,Funny Girl,1969
best actress in a leading role,Maggie Smith,The Prime of Miss Jean Brodie,1970
best actress in a leading role,Glenda Jackson,Women in Love,1971
best actress in a leading role,Jane Fonda,Klute,1972
best actress in a leading role,Liza Minnelli,Cabaret,1973
best actress in a leading role,Glenda Jackson,A Touch of Class,1974
best actress in a leading role,Ellen Burstyn,Alice Doesn't Live Here Anymore,1975
best actress in a leading role,Louise Fletcher,One Flew Over the Cuckoo's Nest,1976
best actress in a leading role,Faye Dunaway,Network,1977
best actress in a leading role,Diane Keaton,Annie Hall,1978
best actress in a leading role,Jane Fonda,Coming Home,1979
best actress in a leading role,Sally Field,Norma Rae,1980
best actress in a leading role,Sissy Spacek,Coal Miner's Daughter,1981
best actress in a leading role,Katharine Hepburn,On Golden Pond,1982
best actress in a leading role,Meryl Streep,Sophie's Choice,1983
best actress in a leading role,Shirley MacLaine,Terms of Endearment,1984
best actress in a leading role,Sally Field,Places in the Heart,1985
best actress in a leading role,Geraldine Page,The Trip to Bountiful,1986
best actress in a leading role,Marlee Matlin,Children of a Lesser God,1987
best actress in a leading role,Cher,Moonstruck,1988
best actress in a leading role,Jodie Foster,The Accused,1989
best actress in a leading role,Jessica Tandy,Driving Miss Daisy,1990
best actress in a leading role,Kathy Bates,Misery,1991
best actress in a leading role,Jodie Foster,The Silence of the Lambs,1992
best actress in a leading role,Emma Thompson,Howards End,1993
best actress in a leading role,Holly Hunter,The Piano,1994
best actress in a leading role,Jessica Lange,Blue Sky,1995
best actress in a leading role,Susan Sarandon,Dead Man Walking,1996
best actress in a leading role,Frances McDormand,Fargo,1997
best actress in a leading role,Helen Hunt,As Good as It Gets,1998
best actress in a leading role,Gwyneth Paltrow,Shakespeare in Love,1999
best actress in a leading role,Hilary Swank,Boys Don't Cry,2000
best actress in a leading role,Julia Roberts,Erin Brockovich,2001
best actress in a leading role,Halle Berry,Monster's Ball,2002
best actress in a leading role,Nicole Kidman,The Hours,2003
best actress in a leading role,Charlize Theron,Monster,2004
best actress in a leading role,Hilary Swank,Million Dollar Baby,2005
best actress in a leading role,Reese Witherspoon,Walk the Line,2006
best actress in a leading role,Helen Mirren,The Queen,2007
best actress in a leading role,Marion Cotillard,La Vie en rose,2008
best actress in a leading role,Kate Winslet,The Reader,2009
best actress in a leading role,Sandra Bullock,The Blind Side,2010
best actress in a leading role,Natalie Portman,Black Swan,2011
best actress in a leading role,Meryl Streep,The Iron Lady,2012
best actress in a leading role,Jennifer Lawrence,Silver Linings Playbook,2013
best actress in a leading role,Cate Blanchett,Blue Jasmine,2014
best actress in a leading role,Julianne Moore,Still Alice,2015
best actress in a leading role,Brie Larson,Room,2016
best actress in a leading role,Emma Stone,La La Land,2017
