2016,World Series,,Chicago Cubs,Cleveland Indians
2015,World Series,,Kansas City Royals,New York Mets
2014,World Series,,San Francisco Giants,Kansas City Royals
2013,World Series,,Boston Red Sox,St. Louis Cardinals
2012,World Series,,San Francisco Giants,Detroit Tigers
2011,World Series,,St. Louis Cardinals,Texas Rangers
2010,World Series,,San Francisco Giants,Texas Rangers
2009,World Series,,New York Yankees,Philadelphia Phillies
2008,World Series,,Philadelphia Phillies,Tampa Bay Rays
2007,World Series,,Boston Red Sox,Colorado Rockies
2006,World Series,,St. Louis Cardinals,Detroit Tigers
2005,World Series,,Chicago White Sox,Houston Astros
2004,World Series,,Boston Red Sox,St. Louis Cardinals
2003,World Series,,Florida Marlins,New York Yankees
2002,World Series,,Anaheim Angels,San Francisco Giants
2001,World Series,,Arizona Diamondbacks,New York Yankees
2000,World Series,,New York Yankees,New York Mets
1999,World Series,,New York Yankees,Atlanta Braves
1998,World Series,,New York Yankees,San Diego Padres
1997,World Series,,Florida Marlins,Cleveland Indians
1996,World Series,,New York Yankees,Atlanta Braves
1995,World Series,,Atlanta Braves,Cleveland Indians
1993,World Series,,Toronto Blue Jays,Philadelphia Phillies
1992,World Series,,Toronto Blue Jays,Atlanta Braves
1991,World Series,,Minnesota Twins,Atlanta Braves
1990,World Series,,Cincinnati Reds,Oakland Athletics
1989,World Series,,Oakland Athletics,San Francisco Giants
1988,World Series,,Los Angeles Dodgers,Oakland Athletics
1987,World Series,,Minnesota Twins,St. Louis Cardinals
1986,World Series,,New York Mets,Boston Red Sox
1985,World Series,,Kansas City Royals,St. Louis Cardinals
1984,World Series,,Detroit Tigers,San Diego Padres
1983,World Series,,Baltimore Orioles,Philadelphia Phillies
1982,World Series,,St. Louis Cardinals,Milwaukee Brewers
1981,World Series,,Los Angeles Dodgers,New York Yankees
1980,World Series,,Philadelphia Phillies,Kansas City Royals
1979,World Series,,Pittsburgh Pirates,Baltimore Orioles
1978,World Series,,New York Yankees,Los Angeles Dodgers
1977,World Series,,New York Yankees,Los Angeles Dodgers
1976,World Series,,Cincinnati Reds,New York Yankees
